date,precipitation_sum,rain_sum,temp_max,temp_min,wind_speed_max,shortwave_radiation_sum,sunshine_duration,sunshine_hours
2025-12-09,4.8,4.8,8.25,3.1,21.661411,1.13,0.0,0.0
2025-12-10,0.4,0.4,10.4,6.3,17.589418,4.02,25200.0,7.0
2025-12-11,1.3000001,1.3000001,7.25,4.65,17.355772,0.72,0.0,0.0
2025-12-12,0.8000001,0.8000001,6.6,4.9,19.387428,1.11,0.0,0.0
2025-12-13,0.2,0.2,5.25,0.35,16.396805,1.16,0.0,0.0
2025-12-14,0.90000004,0.90000004,5.05,0.3,23.871555,1.76,3600.0,1.0
2025-12-15,0.0,0.0,5.85,0.2,19.087639,4.39,22888.582,6.3579392
2025-12-16,0.0,0.0,5.8,-1.3,13.169555,4.53,23721.855,6.589404
2025-12-17,0.0,0.0,8.3,1.2,19.468311,4.24,25200.0,7.0
2025-12-18,0.0,0.0,6.9,2.15,14.978984,3.81,22366.52,6.212922
2025-12-19,0.0,0.0,6.8,-1.35,14.081478,4.4,26451.527,7.3476467
2025-12-20,0.3,0.3,5.6,1.25,13.681183,3.2,21064.213,5.85117
2025-12-21,0.6,0.6,3.45,2.55,7.689603,1.12,0.0,0.0
2025-12-22,0.0,0.0,2.4,-0.15,8.669949,1.97,1872.5522,0.5201534
2025-12-23,0.0,0.0,0.6,-1.5,12.57426,1.23,0.0,0.0
2025-12-24,0.0,0.0,-0.95,-6.65,19.672773,2.44,5509.1465,1.5303185
2025-12-25,0.0,0.0,-3.95,-8.5,13.708391,4.19,23426.982,6.507495
2025-12-26,0.0,0.0,-1.7,-7.95,20.347166,1.05,0.0,0.0
2025-12-27,0.6,0.5,0.8,-1.55,31.949368,1.09,0.0,0.0
2025-12-28,2.6999996,0.1,0.45,-1.0,35.020523,1.26,0.0,0.0
2025-12-29,0.4,0.2,-0.55,-2.45,25.360205,1.85,1645.2764,0.4570212
2025-12-30,2.3,0.1,-0.9,-5.25,29.546877,2.82,11164.94,3.1013722
2025-12-31,2.9,0.0,-3.75,-6.9,26.415268,2.39,4938.587,1.3718297
2026-01-01,1.3000001,0.0,-1.05,-5.6,34.492905,2.44,261.6101,0.072669476
2026-01-02,5.2,0.0,1.25,-0.95,34.643337,2.68,0.0,0.0
2026-01-03,0.1,0.0,-0.1,-3.8,23.70334,5.13,26151.541,7.264317
2026-01-04,0.0,0.0,0.0,-5.55,20.241,4.4,17105.418,4.751505
2026-01-05,1.3,0.099999994,-2.35,-8.0,16.029099,5.18,26488.117,7.3578105
2026-01-06,5.7999997,0.0,-2.3,-4.15,13.324863,2.41,0.0,0.0
2026-01-07,8.600001,0.10000001,-3.55,-4.85,13.229693,1.73,0.0,0.0
2026-01-08,12.200004,0.0,-4.95,-6.85,22.537409,2.32,0.0,0.0
2026-01-09,1.1000001,0.0,-7.15,-8.85,28.452528,2.49,0.0,0.0
2026-01-10,0.0,0.0,-9.05,-12.75,19.937794,3.75,4690.276,1.3028544
2026-01-11,2.2,0.0,-4.95,-12.1,19.206936,3.04,656.9332,0.18248145
2026-01-12,3.3999996,0.0,-4.3,-13.1,25.562534,3.45,3077.3735,0.854826
2026-01-13,0.3,0.0,-5.85,-11.85,13.100489,3.8,589.60126,0.16377813
2026-01-14,3.4,0.0,-2.8,-8.45,13.523978,3.41,4090.1426,1.1361507
2026-01-15,1.9000002,0.6,0.9,-3.1,16.383955,1.5,0.0,0.0
2026-01-16,0.0,0.0,-1.35,-9.6,22.666424,4.67,17185.434,4.7737317
2026-01-17,0.0,0.0,-5.4,-12.65,21.219397,6.32,30472.406,8.464558
2026-01-18,0.0,0.0,-8.9,-15.7,15.528064,6.12,29129.387,8.091496
2026-01-19,0.0,0.0,-6.9,-15.5,14.944336,6.2,28262.383,7.8506618
2026-01-20,0.0,0.0,-4.1,-15.95,14.800554,6.41,28376.63,7.8823977
2026-01-21,0.0,0.0,-1.35,-12.95,15.206538,6.85,31069.518,8.630422
2026-01-22,0.0,0.0,-7.4,-15.0,13.529966,4.4,7360.7393,2.0446498
2026-01-23,0.6,0.0,-0.6,-7.05,14.178928,1.85,0.0,0.0
2026-01-24,6.3,1.0,-2.25,-3.25,13.896187,1.57,0.0,0.0
2026-01-25,3.1999998,2.4,-0.9,-3.7,23.828764,3.72,7200.0,2.0
2026-01-26,0.1,0.1,1.85,-2.2,25.741888,2.88,0.0,0.0
2026-01-27,1.5000001,1.5000001,1.75,0.2,11.844492,2.34,0.0,0.0
2026-01-28,0.70000005,0.70000005,2.35,-1.75,16.404707,5.89,21908.912,6.0858088
2026-01-29,0.1,0.1,0.85,-1.5,16.311613,3.3,0.0,0.0
2026-01-30,0.5,0.4,-0.6,-6.25,18.297245,1.97,0.0,0.0
2026-01-31,0.0,0.0,-7.05,-13.1,18.921415,4.1,0.0,0.0
2026-02-01,0.0,0.0,-11.2,-19.35,16.208996,8.48,32275.748,8.965486
2026-02-02,0.0,0.0,-10.4,-18.85,14.401124,6.71,21183.36,5.8842664
2026-02-03,0.2,0.1,-7.15,-11.4,14.766584,3.14,0.0,0.0
2026-02-04,4.2,2.7,-1.15,-7.85,16.67795,2.01,0.0,0.0
2026-02-05,0.90000004,0.90000004,1.45,-0.65,17.460928,3.76,0.0,0.0
2026-02-06,0.5,0.5,1.65,-0.5,20.837282,5.81,11167.596,3.10211
2026-02-07,1.3000001,1.1,1.0,-1.45,10.036512,2.78,0.0,0.0
2026-02-08,3.3999994,0.0,-0.5,-4.5,14.539945,2.26,0.0,0.0
2026-02-09,0.3,0.0,-4.85,-10.5,17.714231,7.7,23939.105,6.6497517
2026-02-10,0.0,0.0,-1.45,-10.9,18.687086,7.39,23823.324,6.61759
2026-02-11,0.0,0.0,2.45,-4.95,20.29535,8.12,25940.244,7.205623
2026-02-12,0.5,0.5,4.6,2.4,19.139341,4.84,15445.71,4.290475
2026-02-13,1.3000001,1.3000001,5.35,1.75,18.792551,4.5,14943.064,4.1508512
2026-02-14,0.5,0.5,2.95,0.35,11.989945,6.79,25684.31,7.1345305
2026-02-15,5.5000005,0.099999994,0.45,-7.6,18.900856,1.8,0.0,0.0
2026-02-16,0.1,0.0,-6.6,-9.9,14.512064,7.08,9918.1045,2.755029
2026-02-17,0.2,0.0,-3.1,-9.7,13.874019,7.02,14697.3955,4.0826097
2026-02-18,0.0,0.0,-1.6,-7.2,8.731391,9.39,28485.389,7.912608
2026-02-19,0.9,0.1,-1.05,-3.8,15.283048,5.97,3868.3809,1.0745503
2026-02-20,0.1,0.0,-3.85,-10.95,13.690653,11.48,35355.54,9.820983
2026-02-21,0.0,0.0,-0.25,-9.75,22.004953,11.3,33695.33,9.359814
2026-02-22,0.3,0.0,6.85,-0.75,20.898613,9.36,21893.996,6.0816655
2026-02-23,4.4,4.4,7.4,1.55,23.809721,4.05,9778.113,2.7161427
2026-02-24,1.2,1.2,5.7,1.05,21.010712,6.06,17301.69,4.806025
