date,precipitation_sum,rain_sum,temp_max,temp_min,wind_speed_max,shortwave_radiation_sum,sunshine_duration,sunshine_hours
2024-03-10,0.0,0.0,11.75,-1.3,16.87398,12.86,36000.0,10.0
2024-03-11,2.6000001,2.4000003,6.2,3.85,26.28,3.67,0.0,0.0
2024-03-12,3.2,3.2,7.55,2.7,21.897945,4.53,0.0,0.0
2024-03-13,1.4000002,1.4000002,4.25,1.7,13.905509,3.19,0.0,0.0
2024-03-14,0.2,0.2,5.4,1.15,9.511088,6.24,658.3556,0.18287656
2024-03-15,0.0,0.0,8.45,-2.1,14.039999,14.0,38899.72,10.805477
2024-03-16,0.0,0.0,14.8,1.1,15.077082,13.98,34199.145,9.499763
2024-03-17,7.9,7.9,8.0,1.2,19.64228,5.27,6718.9805,1.8663834
2024-03-18,2.2,0.0,2.7,-2.85,14.84318,8.46,13379.314,3.7164762
2024-03-19,4.4999995,1.6,2.65,-3.6,27.971327,3.36,0.0,0.0
2024-03-20,3.1999996,2.0,4.75,-0.7,17.193533,4.27,2017.4932,0.5604148
2024-03-21,0.0,0.0,7.6,-1.95,10.233123,11.17,20854.0,5.792778
2024-03-22,1.6,1.5000001,10.9,1.5,16.808569,8.15,8687.5625,2.4132118
2024-03-23,0.2,0.2,14.85,6.6,21.897945,7.94,5311.4336,1.4753982
2024-03-24,7.299999,6.9999995,9.0,-0.6,18.681883,9.48,18896.586,5.2490516
2024-03-25,0.2,0.2,8.7,-2.35,10.30883,15.97,42541.47,11.817075
2024-03-26,0.0,0.0,11.7,0.0,18.58451,16.18,43142.223,11.983951
2024-03-27,0.0,0.0,14.85,3.65,23.86341,18.39,44524.098,12.367805
2024-03-28,0.7,0.7,16.1,5.85,28.075384,11.1,28513.184,7.9203286
2024-03-29,18.099998,18.099998,15.55,7.15,31.394394,17.69,38535.285,10.704246
2024-03-30,0.0,0.0,21.95,9.15,25.77962,18.68,44147.535,12.263205
2024-03-31,0.0,0.0,22.3,12.9,25.318008,15.76,43315.504,12.032084
2024-04-01,0.0,0.0,23.1,14.7,29.68636,18.45,45944.93,12.762481
2024-04-02,7.7999997,7.7999997,17.95,7.2,34.651752,7.76,16633.602,4.620445
2024-04-03,0.2,0.2,14.2,7.7,37.290855,16.15,46183.895,12.828859
2024-04-04,2.1000001,2.1000001,14.15,6.85,12.429127,10.06,21206.988,5.89083
2024-04-05,4.3999996,4.3999996,15.25,7.65,23.893261,13.9,33916.62,9.421284
2024-04-06,9.500002,9.500002,17.4,7.95,24.72495,15.51,33474.47,9.298464
2024-04-07,0.0,0.0,19.4,6.1,14.759999,20.29,46800.0,13.0
2024-04-08,0.0,0.0,23.05,9.85,15.124284,19.22,44661.832,12.406064
2024-04-09,0.0,0.0,23.4,11.45,12.371645,19.68,43261.816,12.017171
2024-04-10,0.0,0.0,22.3,12.05,21.915691,19.9,46705.082,12.973634
2024-04-11,0.0,0.0,16.65,10.55,16.831684,13.53,19625.354,5.451487
2024-04-12,0.0,0.0,18.65,6.7,13.392774,19.99,45423.16,12.617544
2024-04-13,0.3,0.3,19.35,9.2,27.66384,16.08,43020.902,11.950251
2024-04-14,0.0,0.0,22.3,10.1,26.987997,15.58,30003.45,8.334291
2024-04-15,10.400001,10.400001,14.5,9.7,12.819235,10.05,11106.83,3.0852306
2024-04-16,3.4000003,3.4000003,13.2,5.7,23.893261,6.96,1742.206,0.4839461
2024-04-17,0.0,0.0,10.25,3.65,8.64,12.24,11152.072,3.0977979
2024-04-18,2.2,2.2,8.1,3.9,23.023117,9.67,810.4115,0.2251143
2024-04-19,1.0,0.8,8.6,2.0,24.18707,18.12,41090.543,11.41404
2024-04-20,0.1,0.1,12.5,2.8,17.673029,18.18,32400.0,9.0
2024-04-21,3.4999998,3.4999998,12.75,1.9,19.13426,17.98,40595.387,11.276496
2024-04-22,2.9,2.9,7.85,4.0,13.527572,7.65,661.8159,0.18383776
2024-04-23,0.4,0.4,9.95,1.55,17.238699,10.74,3621.4968,1.0059713
2024-04-24,8.200001,8.200001,11.6,6.9,20.188908,9.18,5206.5073,1.446252
2024-04-25,0.3,0.3,10.9,5.0,18.678415,15.62,26167.775,7.2688265
2024-04-26,0.3,0.3,13.7,0.75,9.686609,22.06,48820.695,13.561304
2024-04-27,0.1,0.1,16.45,3.9,14.689589,23.68,49150.85,13.653014
2024-04-28,0.0,0.0,20.45,7.1,12.661564,22.43,47603.727,13.223257
2024-04-29,0.0,0.0,20.75,11.35,24.27265,24.82,49948.105,13.874474
2024-04-30,0.0,0.0,20.05,10.65,21.915691,25.78,50416.656,14.004626
2024-05-01,0.0,0.0,21.65,11.55,22.42427,25.96,50097.94,13.916095
2024-05-02,0.0,0.0,22.35,11.6,19.191748,22.01,42463.348,11.795374
2024-05-03,0.0,0.0,23.7,10.8,17.873556,23.86,49623.37,13.784269
2024-05-04,0.0,0.0,20.65,9.05,11.384199,25.9,51441.938,14.289427
2024-05-05,0.0,0.0,23.55,10.1,13.979871,25.89,51443.02,14.289727
